stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ESTACION_3014,3014,San Martín,4.6764067144666122,-74.067174873419162,1,,0
ESTACION_7107,7107,U. Nacional,4.6370909542037442,-74.079319903901265,1,,0
ESTACION_10002,10002,AV. 1° Mayo,4.5766694224667095,-74.093898497187638,1,,0
ESTACION_4003,4003,Avenida Cali,4.7024067673953107,-74.100251855737369,1,,0
ESTACION_10005,10005,Bicentenario,4.5931389990330338,-74.082471229753935,1,,0
ESTACION_9100,9100,Calle 40 Sur,4.5757961191476744,-74.120058729219579,1,,0
ESTACION_14001,14001,De La Sabana,4.6053290888535781,-74.081837561917808,1,,0
ESTACION_6104,6104,Gobernación,4.6425056534677624,-74.096342380010867,1,,0
ESTACION_5001,5001,Patio Bonito,4.6332236795981192,-74.164722181286976,1,,0
ESTACION_8000,8000,Portal Tunal,4.5709117239427721,-74.139574742662347,1,,0
ESTACION_7113,7113,Santa Isabel,4.6015881839831962,-74.102755306924422,1,,0
ESTACION_9004,9004,Santa Lucía,4.5709151878151388,-74.124785174918458,1,,0
ESTACION_3012,3012,Suba - CL 95,4.6846886997909643,-74.063260240000986,1,,0
ESTACION_7108,7108,AV. El Dorado,4.6301834436324922,-74.079920843826955,1,,0
ESTACION_7101,7101,La Castellana,4.6754704607838367,-74.064711843605664,1,,0
ESTACION_14004,14004,Museo del Oro,4.6011822858670337,-74.072928242848576,1,,0
ESTACION_12000,12000,Puente Aranda,4.6257791706948748,-74.104807346849739,1,,0
ESTACION_10006,10006,San Victorino,4.6006821119843142,-74.0776052057107,1,,0
ESTACION_3002,3002,Suba - TV. 91,4.7389347720089638,-74.08701342769271,1,,0
ESTACION_6111,6111,Universidades,4.6048826144107506,-74.067111354739438,1,,0
ESTACION_6109,6109,Centro Memoria,4.6212116106425141,-74.076877838137435,1,,0
ESTACION_4101,4101,Minuto de Dios,4.6966532031844457,-74.0915997884289,1,,0
ESTACION_7105,7105,Movistar Arena,4.6498366113620682,-74.078388309073247,1,,0
ESTACION_10009,10009,Museo Nacional,4.6153770501416647,-74.069127102819579,1,,0
ESTACION_7102,7102,NQS - Calle 75,4.6699867072486843,-74.07159482956844,1,,0
ESTACION_7000,7000,Portal del Sur,4.5973510297605351,-74.169328655125014,1,,0
ESTACION_6105,6105,Quinta Paredes,4.6374541082988205,-74.093077480809427,1,,0
ESTACION_6106,6106,Recinto Ferial,4.6343468170898321,-74.089830824440256,1,,0
ESTACION_7111,7111,Ricaurte (NQS),4.6115099815596805,-74.094044328151412,1,,0
ESTACION_90007,90007,Suba Calle 100,4.6870905973212684,-74.064468462337658,1,,0
ESTACION_9109,9109,Tercer Milenio,4.5981369565972976,-74.083862946010242,1,,0
ESTACION_5005,5005,Transversal 86,4.6341594208428427,-74.151957037301315,1,,0
ESTACION_4107,4107,Escuela Militar,4.6755458133560568,-74.069852931149583,1,,0
ESTACION_7007,7007,NQS - CL 38A S.,4.593792134515402,-74.123777984977011,1,,0
ESTACION_6000,6000,Portal Eldorado,4.6820834743471176,-74.121692643808885,1,,0
ESTACION_7104,7104,Simón Bolívar,4.6571673577443962,-74.077729192367315,1,,0
ESTACION_3005,3005,Suba  Av Boyaca,4.721407873730862,-74.0747787361907,1,,0
ESTACION_3011,3011,Suba  Calle 100,4.6905501015987126,-74.065716368212335,1,,0
ESTACION_12007,12007,Zona Industrial,4.620222581663171,-74.098615406790444,1,,0
ESTACION_5107,5107,Distrito Grafiti,4.6278918773218933,-74.111673800556673,1,,0
ESTACION_3007,3007,Humedal Córdoba,4.706652777038455,-74.071228938469872,1,,0
ESTACION_3006,3006,Niza - Calle 127,4.7119735694631615,-74.072322399204921,1,,0
ESTACION_5000,5000,Portal Américas,4.6295689275517766,-74.173221101019422,1,,0
ESTACION_2000,2000,Portal del Norte,4.7554763181170765,-74.0458861054849,1,,0
ESTACION_12003,12003,Ricaurte (CL 13),4.6129310936595305,-74.090418369811189,1,,0
ESTACION_5002,5002,Biblioteca Tintal,4.6379986245535276,-74.159387053635612,1,,0
ESTACION_7006,7006,General Santander,4.5935628061814446,-74.129602824434272,1,,0
ESTACION_7008,7008,NQS Calle 30 Sur ,4.5947394488695368,-74.118119670051669,1,,0
ESTACION_7200,7200,Tygua - San José,4.5997823635305464,-74.088776916066792,1,,0
ESTACION_90005,90005,Av. Suba Calle 116,4.6993631615907718,-74.0699067213811,1,,0
ESTACION_6108,6108,Concejo de Bogotá,4.6260101766830788,-74.080381865340016,1,,0
ESTACION_6101,6101,El Tiempo - Maloka,4.6570108383933349,-74.105658782939926,1,,0
ESTACION_10000,10000,Portal 20 de Julio,4.5656473259336989,-74.097125593084982,1,,0
ESTACION_6102,6102,Salitre - El Greco,4.6508495826872407,-74.10167965925919,1,,0
ESTACION_12004,12004,San Facon - KR. 22,4.609636770353438,-74.086697876441633,1,,0
ESTACION_4100,4100,Granja - Carrera 77,4.6987088600238822,-74.095379341782987,1,,0
ESTACION_7201,7201,Guatoque - Veraguas,4.6040365636024214,-74.094782787417969,1,,0
ESTACION_14003,14003,AV. Jiménez (CL 13),4.6029646978321539,-74.0790340644591,1,,0
ESTACION_10003,10003,Ciudad Jardín - UAN,4.58163460633792,-74.09021538510008,1,,0
ESTACION_6107,6107,Ciudad Universitaria,4.6308898263707965,-74.083579064916478,1,,0
ESTACION_10010,10010,Estación San Bernardo,4.5902655575977329,-74.0841963321596,1,,0
ESTACION_7504,7504,Terreros Hospital C.V.,4.5889586032859668,-74.199436952332661,1,,0
ESTACION_5102,5102,Av Américas -Av. Boyacá,4.6301070544241529,-74.134196746533064,1,,0
ESTACION_9110,9110,AV. Jiménez (AV. Caracas),4.6027923811665916,-74.080499684118735,1,,0
ESTACION_7106,7106,Campín - Universidad Antonio Nariño,4.6459269347024419,-74.07868419427011,1,,0
T_11561_STOP,BD-382A,CAC,4.6927977843497626,-74.135988671493578,0,,0
T_11409_STOP,BD-016A,K7- CL66,4.6504772831282013,-74.0585691244011,0,,0
T_11416_STOP,BD-002A,K7 - CL33,4.6205162828087758,-74.067527630379359,0,,0
T_11377_STOP,BD-001A,K7 - CL34,4.6221541155024237,-74.066682296155989,0,,0
T_11415_STOP,BD-004A,K7 - CL36,4.6243147829125633,-74.066222129477907,0,,0
T_11378_STOP,BD-003A,K7 - CL37,4.6249794490468528,-74.065888629144325,0,,0
